% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",Boundary wall,Building condition satisfactory,MeasureGroup 1 Measures,Color By Measure Value,Show Sheet,Table of Contents,Other Factors Measure Value,Analysis Level Selector,Color By Measure Name,Complete Primary Schools,Country,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,MeasureGroup 2 Measures,No Facility,Number of Records,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
92.98%,0.152027027,7.02%,0.165540541,0.682432432,15.24%,6.10%,36.89%,41.77%,20297,16,Cluster 1,28.040541,17.407407,57.016445,57.016445,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",Balochistan,Gender parity score,45,Pakistan,Zhob,27.702703,3,44.480012,2.20%,18.243243,48.14249,57.016445,8.61,53.761111,44.480012,0.00%,1,0.848137536,296,0.151862464,53,4.70%,275142,49,202,Balochistan,19,19.832833,1803,7.77027,349,2016
99.76%,0.178082192,0.24%,0.296803653,0.525114155,6.59%,30.23%,18.22%,44.96%,1489,16,Cluster 1,37.899543,22.580645,50.241065,50.241065,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",Balochistan,Gender parity score,39,Pakistan,Ziarat,17.351598,3,43.627316,2.20%,3.196347,56.548519,50.241065,8.61,46.719681,43.627316,0.00%,1,0.829545455,219,0.170454545,45,4.70%,33340,65,115,Balochistan,21,19.31065,1803,15.525114,264,2016
89.68%,0.908560311,10.32%,0.007782101,0.083657588,17.45%,23.83%,13.26%,20.97%,,16,Cluster 1,59.727626,31.578947,60.315891,60.315891,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,467,Pakistan,Bajaur Agency,28.988327,3,42.420369,2.20%,33.657588,52.79892,60.315891,8.61,36.566667,42.420369,24.50%,1,0.856666667,514,0.143333333,86,4.70%,,4,43,FATA,20,37.327463,1803,32.684825,600,2016
86.27%,0.917378917,13.73%,0,0.082621083,20.44%,23.40%,28.57%,16.01%,1227,16,Cluster 1,74.643875,39.6875,63.73403,63.73403,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,322,Pakistan,FR Bannu,45.299145,3,57.332458,2.20%,53.846154,54.147423,63.73403,8.61,56.194504,57.332458,11.58%,1,0.851941748,351,0.148058252,61,4.70%,675667,0,29,FATA,55.253874,49.134081,1803,32.193732,412,2016
100.00%,0.886363636,0.00%,0.015151515,0.098484848,15.79%,26.97%,11.84%,18.42%,,16,Cluster 1,59.848485,42.519685,44.970675,44.970675,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,117,Pakistan,FR DI Khan,20.454545,3,44.084094,2.20%,37.878788,55.685,44.970675,8.61,51.153097,44.084094,26.97%,1,0.851612903,132,0.148387097,23,4.70%,,2,13,FATA,24.527601,38.352422,1803,31.060606,155,2016
77.85%,0.945578231,22.15%,0.020408163,0.034013605,15.68%,28.11%,18.38%,21.08%,,16,Cluster 1,72.789116,18.367347,72.150848,72.150848,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,139,Pakistan,FR Kohat,38.77551,3,72.77187,2.20%,42.176871,77.903298,72.150848,8.61,74.033333,72.77187,16.76%,1,0.794594595,147,0.205405405,38,4.70%,,3,5,FATA,67,40.952381,1803,32.653061,185,2016
100.00%,0.979166667,0.00%,0,0.020833333,15.89%,32.71%,10.28%,26.17%,,16,Cluster 1,66.666667,38.095238,37.19812,37.19812,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,94,Pakistan,FR Lakki Marwat,28.125,3,29.443069,2.20%,21.875,41.604293,37.19812,8.61,19.166667,29.443069,14.95%,1,0.834782609,96,0.165217391,19,4.70%,,0,2,FATA,19.803197,37.202381,1803,31.25,115,2016
88.61%,0.953333333,11.39%,0.013333333,0.033333333,40.00%,6.67%,24.44%,19.44%,,16,Cluster 2,82,23.648649,61.386414,61.386414,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,143,Pakistan,FR Peshawar,66,3,53.283711,2.20%,59.333333,70.522963,61.386414,8.61,26.195038,53.283711,9.44%,1,0.824175824,150,0.175824176,32,4.70%,,2,5,FATA,55.030429,57.663063,1803,57.333333,182,2016
79.17%,0.830687831,20.83%,0.026455026,0.142857143,26.29%,20.19%,19.72%,22.54%,,16,Cluster 1,76.719577,42.941176,70.826939,70.826939,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,157,Pakistan,FR Tank,36.507937,3,54.573971,2.20%,43.386243,70.450625,70.826939,8.61,26.018322,54.573971,11.27%,1,0.828947368,189,0.171052632,39,4.70%,,5,27,FATA,51,49.540616,1803,48.148148,228,2016
81.87%,0.913043478,18.13%,0.006211180,0.080745342,41.73%,10.11%,22.43%,14.52%,,16,Cluster 1,57.298137,33.015873,68.12612,68.12612,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,588,Pakistan,Khyber Agency,42.391304,3,50.299457,2.20%,44.720497,66.271707,68.12612,8.61,46.8,50.299457,11.21%,1,0.878581173,644,0.121418827,89,4.70%,,4,52,FATA,20,42.255349,1803,33.850932,733,2016
74.50%,0.906614786,25.50%,0.009727626,0.083657588,24.61%,15.94%,16.64%,16.64%,,16,Cluster 1,58.171206,11.417323,75.502372,75.502372,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,466,Pakistan,Kurram Agency,33.268482,3,63.185319,2.20%,46.108949,66.572238,75.502372,8.61,54.666667,63.185319,26.17%,1,0.829032258,514,0.170967742,106,4.70%,,5,43,FATA,56,35.513037,1803,28.599222,620,2016
100.00%,0.953535354,0.00%,0.002020202,0.044444444,15.26%,20.70%,15.44%,16.49%,,16,Cluster 1,51.313131,21.560575,48.368783,48.368783,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,472,Pakistan,Mohmand Agency,27.878788,3,52.404901,2.20%,31.111111,56.617487,48.368783,8.61,73.633333,52.404901,32.11%,1,0.831932773,495,0.168067227,100,4.70%,,1,22,FATA,31,31.867671,1803,27.474747,595,2016
86.96%,0.839416058,13.04%,0.077858881,0.082725061,47.12%,12.15%,21.96%,11.94%,,16,Cluster 2,71.411192,0,63.043478,63.043478,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,690,Pakistan,North Waziristan Agency,80.413625,3,49.521739,2.20%,75.790754,0,63.043478,8.61,0,49.521739,6.82%,1,0.868004224,822,0.131995776,125,4.70%,,64,68,FATA,36,70.255474,1803,53.406326,947,2016
78.50%,0.937209302,21.50%,0.018604651,0.044186047,5.93%,18.61%,10.22%,19.43%,,16,Cluster 1,37.44186,21.126761,71.504824,71.504824,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,403,Pakistan,Orakzai Agency,22.790698,3,58.982729,2.20%,23.953488,75.292759,71.504824,8.61,61.133333,58.982729,45.81%,1,0.866935484,430,0.133064516,66,4.70%,,8,19,FATA,28,23.620701,1803,12.790698,496,2016
92.86%,0.917460317,7.14%,0.015873016,0.066666667,32.41%,12.45%,16.60%,18.97%,,16,Cluster 1,44.603175,8.757962,57.142857,57.142857,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",FATA,Gender parity score,578,Pakistan,South Waziristan Agency,26.349206,3,37.071429,2.20%,34.444444,0,57.142857,8.61,0,37.071429,19.57%,1,0.847913863,630,0.152086137,113,4.70%,,10,42,FATA,17,29.592862,1803,33.809524,743,2016
58.18%,0.65625,41.82%,0.03125,0.3125,17.95%,17.95%,17.09%,19.66%,,16,Cluster 1,31.25,17.1875,91.822514,91.822514,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",GB,Gender parity score,42,Pakistan,Astor,28.125,3,76.191613,2.20%,17.1875,68.217616,91.822514,8.61,64.663419,76.191613,27.35%,1,0.547008547,64,0.452991453,53,4.70%,,2,20,GB,80.062903,26.25,1803,37.5,117,2016
96.54%,0,3.46%,0.378640777,0.679611650,9.21%,17.57%,37.24%,14.23%,,16,Cluster 1,44.660194,45.544554,53.458731,53.458731,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",GB,Gender parity score,0,Pakistan,Diamir,70.873786,3,54.819682,2.20%,50,27.504075,53.458731,8.61,82.31592,54.819682,21.76%,1,0.861924686,206,0.138075314,33,4.70%,,78,140,GB,56,44.642891,1803,12.135922,239,2016
63.76%,0.805970149,36.24%,0,0.194029851,15.83%,15.11%,26.62%,21.58%,6400,16,Cluster 1,47.761194,7.462687,86.243495,86.243495,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",GB,Gender parity score,54,Pakistan,Ghanchi,34.328358,3,71.921517,2.20%,28.358209,66.651727,86.243495,8.61,47.433333,71.921517,20.86%,1,0.482014388,67,0.517985612,72,4.70%,88366,0,13,GB,87.357515,29.850746,1803,31.343284,139,2016
53.61%,0.728813559,46.39%,0,0.271186441,49.12%,4.39%,30.70%,14.04%,9635,16,Cluster 2,61.016949,15.254237,96.385786,96.385786,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",GB,Gender parity score,43,Pakistan,Ghizer,76.271186,3,78.663899,2.20%,72.881356,73.037642,96.385786,8.61,61.668185,78.663899,1.75%,1,0.517543860,59,0.482456140,55,4.70%,120218,0,16,GB,83.563984,62.372881,1803,86.440678,114,2016
60.36%,0.818181818,39.64%,0.012987013,0.168831169,52.11%,8.45%,16.90%,21.13%,3800,16,Cluster 2,76.623377,14.285714,89.642795,89.642795,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",GB,Gender parity score,63,Pakistan,Gilgit,57.142857,3,70.945782,2.20%,63.636364,56.66317,89.642795,8.61,52.233333,70.945782,1.41%,1,0.542253521,77,0.457746479,65,4.70%,243324,1,13,GB,85.243829,58.441558,1803,80.519481,142,2016
64.52%,0.926829268,35.48%,0,0.073170732,57.58%,4.04%,23.23%,12.12%,15700,16,Cluster 2,85.365854,17.647059,85.475772,85.475772,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",GB,Gender parity score,38,Pakistan,Hunza Nagar,73.170732,3,69.724414,2.20%,60.97561,69.038758,85.475772,8.61,53.383128,69.724414,3.03%,1,0.414141414,41,0.585858586,58,4.70%,0,0,3,GB,71,62.553802,1803,75.609756,99,2016
58.96%,0.713780919,41.04%,0.017667845,0.268551237,22.12%,11.76%,21.88%,17.65%,15000,16,Cluster 1,61.130742,20.141343,91.0415,91.0415,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",GB,Gender parity score,202,Pakistan,Skardu,39.575972,3,73.265443,2.20%,35.335689,57.993168,91.0415,8.61,49.808995,73.265443,26.59%,1,0.665882353,283,0.334117647,142,4.70%,214848,5,76,GB,94.218109,36.325088,1803,25.441696,425,2016
55.18%,0.994764398,44.82%,0.005235602,0,88.49%,0.26%,11.00%,0.26%,906,16,Cluster 2,96.858639,49.73822,94.818199,94.818199,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",ICT,Gender parity score,190,Pakistan,Islamabad,92.670157,3,85.740863,2.20%,98.429319,89.515444,94.818199,8.61,71.129807,85.740863,0.00%,1,0.488491049,191,0.511508951,200,4.70%,1829180,1,0,ICT,87.5,86.596859,1803,95.287958,391,2016
57.49%,0.632827950,42.51%,0.177323665,0.189848385,23.05%,12.98%,26.79%,22.61%,1967,16,Cluster 2,61.041529,93.144364,92.511973,92.511973,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,960,Pakistan,Abbottabad,54.251813,3,76.186126,2.20%,29.795649,80.891936,92.511973,8.61,54.340596,76.186126,14.58%,1,0.830777656,1517,0.169222344,309,4.70%,880666,269,288,KP,77,61.001978,1803,66.776533,1826,2016
72.08%,0.634894992,27.92%,0.085621971,0.279483037,59.96%,5.41%,17.25%,10.90%,,16,Cluster 2,87.23748,74.798061,77.918064,77.918064,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,786,Pakistan,Bannu,68.25525,3,66.080658,2.20%,72.294023,63.998435,77.918064,8.61,57.630424,66.080658,6.48%,1,0.826987308,1238,0.173012692,259,4.70%,,106,346,KP,64.775708,76.268174,1803,78.756058,1497,2016
82.60%,0.479395604,17.40%,0.309065934,0.211538462,9.91%,15.30%,21.91%,23.62%,1301,16,Cluster 1,47.93956,97.802198,67.404242,67.404242,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,349,Pakistan,Batagram,40.10989,3,50.277343,2.20%,13.461538,60.116358,67.404242,8.61,40.588773,50.277343,29.25%,1,0.891064871,728,0.108935129,89,4.70%,307278,225,154,KP,33,52.554945,1803,63.461538,817,2016
88.42%,0.742301459,11.58%,0.084278768,0.173419773,51.15%,5.37%,25.32%,13.81%,1865,16,Cluster 2,86.385737,76.823339,61.582131,61.582131,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,458,Pakistan,Buner,71.312804,3,56.997437,2.20%,61.91248,77.582133,61.582131,8.61,29.825485,56.997437,4.35%,1,0.789002558,617,0.210997442,165,4.70%,506048,52,107,KP,59,76.337115,1803,85.251216,782,2016
64.80%,0.873126873,35.20%,0.026973027,0.099900100,68.49%,1.55%,21.36%,7.94%,996,16,Cluster 2,96.803197,89.91009,85.197726,85.197726,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,874,Pakistan,Charsadda,85.714286,3,70.1656,2.20%,70.32967,74.814676,85.197726,8.61,54.65,70.1656,0.65%,1,0.817810458,1001,0.182189542,223,4.70%,1022364,27,100,KP,66,87.432567,1803,94.405594,1224,2016
60.68%,0.426829268,39.32%,0.254573171,0.318597561,28.08%,9.89%,30.65%,20.51%,14850,16,Cluster 2,62.195122,96.036585,89.318701,89.318701,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,280,Pakistan,Chitral,69.969512,3,71.09743,2.20%,33.841463,76.409906,89.318701,8.61,39.661111,71.09743,10.87%,1,0.800976801,656,0.199023199,163,4.70%,318689,167,209,KP,79,65.884146,1803,67.378049,819,2016
71.37%,0.728375101,28.63%,0.091350040,0.180274859,43.89%,7.66%,24.13%,18.43%,7326,16,Cluster 2,79.466451,83.265966,78.634964,78.634964,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,901,Pakistan,Dera Ismail Khan,67.987065,3,55.48882,2.20%,49.95958,51.949171,78.634964,8.61,37.371144,55.48882,5.89%,1,0.783407220,1237,0.216592780,342,4.70%,852995,113,223,KP,54,72.611156,1803,82.376718,1579,2016
84.33%,0.655487805,15.67%,0.100609756,0.243902439,40.50%,5.50%,25.50%,23.75%,1597,16,Cluster 2,86.280488,87.5,65.672935,65.672935,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,215,Pakistan,Hangu,59.146341,3,59.545271,2.20%,47.560976,69.638928,65.672935,8.61,30.869221,59.545271,4.75%,1,0.82,328,0.18,72,4.70%,614529,33,80,KP,72,73.414634,1803,86.585366,400,2016
55.36%,0.675954592,44.64%,0.145510836,0.178534572,48.26%,6.64%,18.79%,14.74%,1725,16,Cluster 2,73.374613,72.858617,94.639132,94.639132,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,655,Pakistan,Haripur,61.19711,3,78.438481,2.20%,58.72033,80.932805,94.639132,8.61,59.181989,78.438481,11.58%,1,0.784615385,969,0.215384615,266,4.70%,692228,141,173,KP,79,68.833849,1803,78.018576,1235,2016
69.61%,0.871299871,30.39%,0.051480051,0.077220077,30.25%,12.29%,28.78%,20.06%,3372,16,Cluster 2,80.694981,82.625483,80.388287,80.388287,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,677,Pakistan,Karak,49.163449,3,69.811124,2.20%,42.985843,74.403178,80.388287,8.61,50.45303,69.811124,8.61%,1,0.814465409,777,0.185534591,177,4.70%,430796,40,60,KP,74,64.942085,1803,69.240669,954,2016
69.11%,0.897590361,30.89%,0.018072289,0.084337349,62.46%,1.31%,26.10%,10.13%,2545,16,Cluster 2,99.39759,96.536145,80.885092,80.885092,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,596,Pakistan,Kohat,74.246988,3,69.564347,2.20%,73.042169,73.630657,80.885092,8.61,49.837339,69.564347,0.00%,1,0.788598575,664,0.211401425,178,4.70%,562644,12,56,KP,73.904298,87.801205,1803,95.783133,842,2016
100.00%,0.508975713,0.00%,0.204857445,0.286166843,2.64%,30.07%,13.57%,15.83%,7492,16,Cluster 1,28.511088,74.234424,45.576199,45.576199,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,482,Pakistan,Kohistan,50.158395,3,36.699299,2.20%,3.590285,37.097248,45.576199,8.61,46.625,36.699299,37.89%,1,0.892554194,947,0.107445806,114,4.70%,472570,194,271,KP,17.49875,36.895459,1803,27.983105,1061,2016
83.61%,0.667377399,16.39%,0.078891258,0.253731343,46.43%,6.77%,26.65%,14.35%,3164,16,Cluster 2,80.703625,76.012793,66.386862,66.386862,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,626,Pakistan,Lakki Marwat,61.08742,3,58.531347,2.20%,70.042644,62.988525,66.386862,8.61,31.75,58.531347,5.79%,1,0.836007130,938,0.163992870,184,4.70%,490025,74,238,KP,73,73.454158,1803,79.424307,1122,2016
62.80%,0.704527403,37.20%,0.107227959,0.188244639,41.58%,4.71%,31.96%,13.17%,1582,16,Cluster 2,77.918983,87.688642,87.201294,87.201294,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,887,Pakistan,Lower Dir,50.595711,3,65.499439,2.20%,68.78475,71.79646,87.201294,8.61,29,65.499439,8.59%,1,0.807051282,1259,0.192948718,301,4.70%,717649,135,237,KP,74,73.582208,1803,82.922955,1560,2016
52.52%,0.852575488,47.48%,0.053285968,0.094138544,67.80%,3.55%,18.01%,6.95%,952,16,Cluster 2,86.145648,89.875666,97.484084,97.484084,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,480,Pakistan,Malakand,73.534636,3,81.004986,2.20%,86.323268,80.89259,97.484084,8.61,58.643269,81.004986,3.69%,1,0.798581560,563,0.201418440,142,4.70%,452291,30,53,KP,87,84.511545,1803,86.678508,705,2016
70.64%,0.414959016,29.36%,0.331454918,0.253586066,25.48%,12.13%,19.04%,21.65%,4579,16,Cluster 2,57.27459,97.592213,79.357031,79.357031,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,810,Pakistan,Mansehra,51.383197,3,67.677001,2.20%,34.631148,74.200971,79.357031,8.61,67.15,67.677001,21.70%,1,0.847222222,1952,0.152777778,352,4.70%,1152839,647,495,KP,50,60.256148,1803,60.39959,2304,2016
61.54%,0.878766643,38.46%,0.040644709,0.080588648,78.62%,0.61%,14.25%,6.40%,1632,16,Cluster 2,99.859846,84.583041,88.460575,88.460575,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,1254,Pakistan,Mardan,93.552908,3,79.343178,2.20%,81.219341,83.31796,88.460575,8.61,63.986725,79.343178,0.11%,1,0.794543430,1427,0.205456570,369,4.70%,1460100,58,115,KP,81.607454,90.217239,1803,91.871058,1796,2016
69.73%,0.866059818,30.27%,0.035110533,0.098829649,61.33%,2.67%,23.28%,10.77%,1748,16,Cluster 2,93.498049,79.843953,80.274082,80.274082,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,666,Pakistan,Nowshera,72.821847,3,74.795136,2.20%,73.602081,79.05237,80.274082,8.61,59.854093,74.795136,1.95%,1,0.787909836,769,0.212090164,207,4.70%,874373,27,76,KP,80,82.522757,1803,92.847854,976,2016
76.55%,0.881132075,23.45%,0.028301887,0.090566038,60.71%,2.75%,23.59%,11.51%,1257,16,Cluster 2,96.415094,86.603774,73.449108,73.449108,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,934,Pakistan,Peshawar,80.188679,3,62.739722,2.20%,59.433962,76.902057,73.449108,8.61,37.60772,62.739722,1.45%,1,0.765342960,1060,0.234657040,325,4.70%,2019118,30,96,KP,63,83.018868,1803,92.45283,1385,2016
80.99%,0.630182421,19.01%,0.109452736,0.260364842,15.21%,13.97%,24.34%,27.25%,1586,16,Cluster 1,58.872305,86.567164,69.010295,69.010295,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,380,Pakistan,Shangla,37.645108,3,46.893282,2.20%,22.38806,44.163758,69.010295,8.61,27.399074,46.893282,19.23%,1,0.834024896,603,0.165975104,120,4.70%,434563,66,157,KP,47,54.693201,1803,67.993367,723,2016
67.12%,0.812080537,32.88%,0.064237776,0.123681687,74.96%,1.75%,15.37%,6.93%,1543,16,Cluster 2,92.329818,80.536913,82.877067,82.877067,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,847,Pakistan,Swabi,83.79674,3,74.176585,2.20%,85.810163,79.929272,82.877067,8.61,50.9,74.176585,0.99%,1,0.793759513,1043,0.206240487,271,4.70%,1026804,67,129,KP,83,87.440077,1803,94.72675,1314,2016
76.44%,0.643013899,23.56%,0.111923921,0.245062180,43.82%,8.36%,20.16%,15.55%,5337,16,Cluster 2,67.008047,91.660571,73.559281,73.559281,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,879,Pakistan,Swat,61.228969,3,58.16619,2.20%,56.693489,77.126902,73.559281,8.61,32.97858,58.16619,12.11%,1,0.837622549,1367,0.162377451,265,4.70%,1257602,153,335,KP,49,70.665691,1803,76.737381,1632,2016
92.32%,0.805157593,7.68%,0.031518625,0.163323782,44.06%,5.83%,28.67%,20.75%,1679,16,Cluster 2,93.123209,64.756447,57.684507,57.684507,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,281,Pakistan,Tank,52.722063,3,42.413324,2.20%,65.902579,47.55239,57.684507,8.61,30.416398,42.413324,0.70%,1,0.813519814,349,0.186480186,80,4.70%,238216,11,57,KP,34,73.409742,1803,90.544413,429,2016
76.56%,0.616504854,23.44%,0.111650485,0.271844660,1.27%,20.34%,12.29%,22.46%,497,16,Cluster 1,43.203883,85.436893,73.436578,73.436578,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,127,Pakistan,Tor Ghar,21.84466,3,52.471431,2.20%,2.427184,46.259096,73.436578,8.61,45.190049,52.471431,43.64%,1,0.872881356,206,0.127118644,30,4.70%,185000,23,56,KP,45,38.252427,1803,38.349515,236,2016
75.86%,0.690210657,24.14%,0.118959108,0.190830235,18.02%,11.67%,26.88%,30.00%,3699,16,Cluster 2,70.384139,84.262701,74.143378,74.143378,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",KP,Gender parity score,557,Pakistan,Upper Dir,38.785626,3,57.048672,2.20%,25.27881,55.646141,74.143378,8.61,39.15283,57.048672,13.44%,1,0.840625,807,0.159375,153,4.70%,575858,96,154,KP,59.25234,59.851301,1803,80.545229,960,2016
53.96%,0.835680751,46.04%,0.042253521,0.122065728,95.96%,0.00%,4.04%,0.00%,6858,16,Cluster 2,95.187793,86.737089,96.043083,96.043083,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",Punjab,Gender parity score,712,Pakistan,Attock,95.305164,3,81.250789,2.20%,86.737089,85.942461,96.043083,8.61,57.017613,81.250789,0.00%,1,0.662004662,852,0.337995338,435,4.70%,1274935,36,104,Punjab,86,92.018779,1803,96.126761,1287,2016
60.44%,0.713119216,39.56%,0.097441481,0.189439303,88.43%,0.00%,11.57%,0.00%,8878,16,Cluster 2,86.499728,82.743604,89.55563,89.55563,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",Punjab,Gender parity score,1310,Pakistan,Bahawalnagar,96.897115,3,65.029001,2.20%,77.299946,59.010374,89.55563,8.61,57.55,65.029001,0.00%,1,0.764461090,1837,0.235538910,566,4.70%,2061447,179,348,Punjab,54,87.468699,1803,93.903103,2403,2016
54.38%,0.752610966,45.62%,0.066579634,0.180809399,92.60%,0.00%,7.40%,0.00%,24830,16,Cluster 2,90.73107,84.822602,95.619743,95.619743,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",Punjab,Gender parity score,1153,Pakistan,Bahawalpur,98.237598,3,65.335176,2.20%,82.70235,50.24721,95.619743,8.61,62.47375,65.335176,0.00%,1,0.776482514,1532,0.223517486,441,4.70%,2433091,102,277,Punjab,53,90.672092,1803,96.866841,1973,2016
59.83%,0.836714976,40.17%,0.024154589,0.139130435,89.96%,0.00%,10.04%,0.00%,8153,16,Cluster 2,87.246377,82.655039,90.166593,90.166593,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",Punjab,Gender parity score,866,Pakistan,Bhakkar,99.323671,3,71.664929,2.20%,74.009662,70.288522,90.166593,8.61,67.204602,71.664929,0.00%,1,0.769516729,1035,0.230483271,310,4.70%,1051456,25,144,Punjab,59,88.163858,1803,97.584541,1345,2016
54.43%,0.900133156,45.57%,0.015978695,0.083888149,96.61%,0.00%,3.39%,0.00%,6524,16,Cluster 2,96.005326,93.010753,95.572997,95.572997,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",Punjab,Gender parity score,676,Pakistan,Chakwal,97.070573,3,84.848134,2.20%,87.483356,88.903192,95.572997,8.61,66.233333,84.848134,0.00%,1,0.621688742,751,0.378311258,457,4.70%,1083725,12,63,Punjab,88.683013,94.234641,1803,97.603196,1208,2016
63.43%,0.822097378,36.57%,0.052434457,0.125468165,96.10%,0.00%,3.90%,0.00%,0,16,Cluster 2,95.88015,83.458647,86.5688,86.5688,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",Punjab,Gender parity score,439,Pakistan,Chiniot,99.812734,3,66.630317,2.20%,93.632959,68.022341,86.5688,8.61,58.930128,66.630317,0.00%,1,0.770562771,534,0.229437229,159,4.70%,965124,28,67,Punjab,53,93.920194,1803,96.816479,693,2016
64.52%,0.592567103,35.48%,0.206469374,0.200963524,76.37%,0.00%,23.63%,0.00%,11922,16,Cluster 2,72.401927,71.186441,85.481263,85.481263,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",Punjab,Gender parity score,861,Pakistan,Dera Ghazi Khan,84.514797,3,61.020956,2.20%,41.84446,64.09006,85.481263,8.61,60.5125,61.020956,0.00%,1,0.815375982,1453,0.184624018,329,4.70%,2643118,300,292,Punjab,34,68.841555,1803,74.260151,1782,2016
54.28%,0.868008949,45.72%,0.041759881,0.090231171,96.09%,0.00%,3.91%,0.00%,5856,16,Cluster 2,94.108874,84.862043,95.721775,95.721775,Year on Year Change,What are these scores? How they are Derived?,"1,803.0",Punjab,Gender parity score,1164,Pakistan,Faisalabad,99.627144,3,78.876624,2.20%,95.824012,77.552136,95.721775,8.61,65.232587,78.876624,0.00%,1,0.576526225,1341,0.423473775,985,4.70%,5429547,56,121,Punjab,77,94.58613,1803,98.508576,2326,2016
